POS.;PART NO.;DESIGNATION;QTY.;UNITS;WEIGHT
1;5319974272;FITTING ;1.000;PC;100 G
2;5240180616;TUBE ASM OIL GAUGE ;1.000;PC;86 G
3;5240111380;GASKET ;1.000;PC;
5;23540055;DIPSTICK ;1.000;PC;223 G
6;000933010035;BOLT HEX S2000/4000 ;7.000;PC;2,300 G
8;23540042;COVER ASM ;1.000;PC;4,280 KG
