POS.;PART NO.;DESIGNATION;QTY.;UNITS;WEIGHT
1;5240111380;GASKET ;3.000;PC;
2;5240110732;COVER CYL BLOCK ACCESS PORT ;3.000;PC;2,740 KG
3;000933010035;BOLT HEX S2000/4000 ;21.000;PC;2,300 G
