POS.;PART NO.;DESIGNATION;QTY.;UNITS;WEIGHT
2;5269870535;SEAL RUBBER STRIP 3629.0 ;1.000;PC;426 G
3;5240140253;SPACER SLEEVE ;18.000;PC;103 G
4;5240140153;SPACER SLEEVE ;8.000;PC;61 G
5;5240140045;FLANGE ;6.000;PC;339,800 G
6;5240111480;GASKET ;6.000;PC;9 G
8;23524783;WASHER SEAL ;2.000;PC;45 G
9;05103185;PLUG ;6.000;PC;130 G
;;;;;
;;;;;
13;000912010038;SCREW ;12.000;PC;27 G
14;000931010142;BOLT HEX ;26.000;PC;62 G
;;;;;
;;;;;
17;000908012003;PLUG ;2.000;PC;11,800 G
;;;;;
